Epoch: 0 | Train Loss: 3.7957 | Val Loss: 3.3449 | Train Pearson: 0.7877 | Val Pearson: 0.8192 | Train MSE: 0.3796 | Val MSE: 0.3344
Epoch: 1 | Train Loss: 3.1823 | Val Loss: 3.0366 | Train Pearson: 0.8257 | Val Pearson: 0.8357 | Train MSE: 0.3182 | Val MSE: 0.3036
Epoch: 2 | Train Loss: 2.7990 | Val Loss: 2.6564 | Train Pearson: 0.8486 | Val Pearson: 0.8592 | Train MSE: 0.2799 | Val MSE: 0.2654
Epoch: 3 | Train Loss: 2.4103 | Val Loss: 2.4655 | Train Pearson: 0.8712 | Val Pearson: 0.8696 | Train MSE: 0.2410 | Val MSE: 0.2467
Epoch: 4 | Train Loss: 2.2196 | Val Loss: 2.3223 | Train Pearson: 0.8821 | Val Pearson: 0.8787 | Train MSE: 0.2220 | Val MSE: 0.2324
Epoch: 5 | Train Loss: 2.1239 | Val Loss: 2.5443 | Train Pearson: 0.8875 | Val Pearson: 0.8833 | Train MSE: 0.2124 | Val MSE: 0.2544
Epoch: 6 | Train Loss: 2.0341 | Val Loss: 2.1324 | Train Pearson: 0.8925 | Val Pearson: 0.8880 | Train MSE: 0.2034 | Val MSE: 0.2133
Epoch: 7 | Train Loss: 1.9855 | Val Loss: 2.1264 | Train Pearson: 0.8952 | Val Pearson: 0.8874 | Train MSE: 0.1985 | Val MSE: 0.2127
Epoch: 8 | Train Loss: 1.9538 | Val Loss: 2.1359 | Train Pearson: 0.8970 | Val Pearson: 0.8870 | Train MSE: 0.1954 | Val MSE: 0.2136
Epoch: 9 | Train Loss: 1.9239 | Val Loss: 2.2699 | Train Pearson: 0.8987 | Val Pearson: 0.8898 | Train MSE: 0.1924 | Val MSE: 0.2271
Epoch: 10 | Train Loss: 1.8904 | Val Loss: 2.1179 | Train Pearson: 0.9005 | Val Pearson: 0.8908 | Train MSE: 0.1890 | Val MSE: 0.2119
Epoch: 11 | Train Loss: 1.8651 | Val Loss: 2.0557 | Train Pearson: 0.9019 | Val Pearson: 0.8921 | Train MSE: 0.1865 | Val MSE: 0.2056
Epoch: 12 | Train Loss: 1.8473 | Val Loss: 2.5023 | Train Pearson: 0.9029 | Val Pearson: 0.8917 | Train MSE: 0.1847 | Val MSE: 0.2501
Epoch: 13 | Train Loss: 1.8367 | Val Loss: 2.0655 | Train Pearson: 0.9035 | Val Pearson: 0.8938 | Train MSE: 0.1837 | Val MSE: 0.2065
Epoch: 14 | Train Loss: 1.8118 | Val Loss: 2.1802 | Train Pearson: 0.9049 | Val Pearson: 0.8891 | Train MSE: 0.1812 | Val MSE: 0.2181
Epoch: 15 | Train Loss: 1.8036 | Val Loss: 2.0927 | Train Pearson: 0.9053 | Val Pearson: 0.8951 | Train MSE: 0.1804 | Val MSE: 0.2092
Epoch: 16 | Train Loss: 1.7922 | Val Loss: 2.4831 | Train Pearson: 0.9060 | Val Pearson: 0.8903 | Train MSE: 0.1792 | Val MSE: 0.2484
Epoch: 17 | Train Loss: 1.7832 | Val Loss: 2.0192 | Train Pearson: 0.9065 | Val Pearson: 0.8964 | Train MSE: 0.1783 | Val MSE: 0.2020
Epoch: 18 | Train Loss: 1.7737 | Val Loss: 2.0254 | Train Pearson: 0.9070 | Val Pearson: 0.8961 | Train MSE: 0.1774 | Val MSE: 0.2025
Epoch: 19 | Train Loss: 1.7705 | Val Loss: 2.2249 | Train Pearson: 0.9072 | Val Pearson: 0.8918 | Train MSE: 0.1771 | Val MSE: 0.2223
Epoch: 20 | Train Loss: 1.7625 | Val Loss: 1.9674 | Train Pearson: 0.9076 | Val Pearson: 0.8989 | Train MSE: 0.1763 | Val MSE: 0.1967
Epoch: 21 | Train Loss: 1.7542 | Val Loss: 1.9671 | Train Pearson: 0.9081 | Val Pearson: 0.8967 | Train MSE: 0.1754 | Val MSE: 0.1967
Epoch: 22 | Train Loss: 1.7476 | Val Loss: 2.5594 | Train Pearson: 0.9084 | Val Pearson: 0.8921 | Train MSE: 0.1748 | Val MSE: 0.2560
Epoch: 23 | Train Loss: 1.7536 | Val Loss: 2.2923 | Train Pearson: 0.9081 | Val Pearson: 0.8937 | Train MSE: 0.1754 | Val MSE: 0.2293
Epoch: 24 | Train Loss: 1.7445 | Val Loss: 1.9577 | Train Pearson: 0.9086 | Val Pearson: 0.8979 | Train MSE: 0.1745 | Val MSE: 0.1959
Epoch: 25 | Train Loss: 1.7384 | Val Loss: 1.9229 | Train Pearson: 0.9089 | Val Pearson: 0.8990 | Train MSE: 0.1738 | Val MSE: 0.1923
