Epoch: 0 |Train Loss: 3.8514 | Val Loss: 3.5616|Train Pearson: 0.7843 |Val Pearson: 0.8194 | Train MSE: 0.3852 | Val MSE: 0.3562
Epoch: 1 |Train Loss: 3.1768 | Val Loss: 3.0642|Train Pearson: 0.8262 |Val Pearson: 0.8355 | Train MSE: 0.3177 | Val MSE: 0.3065
Epoch: 2 |Train Loss: 2.8411 | Val Loss: 2.9587|Train Pearson: 0.8462 |Val Pearson: 0.8509 | Train MSE: 0.2841 | Val MSE: 0.2961
Epoch: 3 |Train Loss: 2.5103 | Val Loss: 2.4427|Train Pearson: 0.8655 |Val Pearson: 0.8687 | Train MSE: 0.2511 | Val MSE: 0.2447
Epoch: 4 |Train Loss: 2.2942 | Val Loss: 2.4251|Train Pearson: 0.8779 |Val Pearson: 0.8757 | Train MSE: 0.2294 | Val MSE: 0.2428
Epoch: 5 |Train Loss: 2.1398 | Val Loss: 2.2704|Train Pearson: 0.8867 |Val Pearson: 0.8825 | Train MSE: 0.2140 | Val MSE: 0.2273
Epoch: 6 |Train Loss: 2.0677 | Val Loss: 2.3016|Train Pearson: 0.8907 |Val Pearson: 0.8837 | Train MSE: 0.2068 | Val MSE: 0.2306
Epoch: 7 |Train Loss: 1.9889 | Val Loss: 2.4311|Train Pearson: 0.8951 |Val Pearson: 0.8802 | Train MSE: 0.1989 | Val MSE: 0.2435
Epoch: 8 |Train Loss: 1.9439 | Val Loss: 2.3133|Train Pearson: 0.8976 |Val Pearson: 0.8816 | Train MSE: 0.1944 | Val MSE: 0.2317
Epoch: 9 |Train Loss: 1.9083 | Val Loss: 2.5464|Train Pearson: 0.8996 |Val Pearson: 0.8839 | Train MSE: 0.1908 | Val MSE: 0.2551
Epoch: 10 |Train Loss: 1.8593 | Val Loss: 2.1736|Train Pearson: 0.9024 |Val Pearson: 0.8860 | Train MSE: 0.1859 | Val MSE: 0.2178
Epoch: 11 |Train Loss: 1.8312 | Val Loss: 2.0733|Train Pearson: 0.9039 |Val Pearson: 0.8905 | Train MSE: 0.1831 | Val MSE: 0.2077
Epoch: 12 |Train Loss: 1.8168 | Val Loss: 2.3942|Train Pearson: 0.9047 |Val Pearson: 0.8859 | Train MSE: 0.1816 | Val MSE: 0.2398
Epoch: 13 |Train Loss: 1.7995 | Val Loss: 2.4434|Train Pearson: 0.9056 |Val Pearson: 0.8875 | Train MSE: 0.1799 | Val MSE: 0.2448
Epoch: 14 |Train Loss: 1.7751 | Val Loss: 2.0649|Train Pearson: 0.9070 |Val Pearson: 0.8912 | Train MSE: 0.1775 | Val MSE: 0.2068
Epoch: 15 |Train Loss: 1.7475 | Val Loss: 2.0996|Train Pearson: 0.9085 |Val Pearson: 0.8910 | Train MSE: 0.1748 | Val MSE: 0.2105
Epoch: 16 |Train Loss: 1.7362 | Val Loss: 2.0726|Train Pearson: 0.9091 |Val Pearson: 0.8918 | Train MSE: 0.1736 | Val MSE: 0.2077
Epoch: 17 |Train Loss: 1.7325 | Val Loss: 2.0764|Train Pearson: 0.9093 |Val Pearson: 0.8937 | Train MSE: 0.1732 | Val MSE: 0.2080
Epoch: 18 |Train Loss: 1.7030 | Val Loss: 2.0183|Train Pearson: 0.9110 |Val Pearson: 0.8935 | Train MSE: 0.1702 | Val MSE: 0.2021
Epoch: 19 |Train Loss: 1.7084 | Val Loss: 2.1964|Train Pearson: 0.9106 |Val Pearson: 0.8919 | Train MSE: 0.1709 | Val MSE: 0.2200
Epoch: 20 |Train Loss: 1.6932 | Val Loss: 2.1082|Train Pearson: 0.9115 |Val Pearson: 0.8911 | Train MSE: 0.1692 | Val MSE: 0.2112
