,low,mid,high
ABF1,0.019,0.016,0.015
ABF2,0.022,0.015,0.008
ACA1,0.012,0.012,0.012
ACE2,0.13,0.118,0.122
ADR1,0.028,0.054,0.08
AFT1,0.014,0.018,0.015
AFT2,0.032,0.036,0.069
ARG80,0.017,0.042,0.037
ARG81,0.036,0.028,0.014
ARO80,0.005,0.017,0.031
ARR1,0.021,0.016,0.009
ASG1,0.005,0.044,0.08
ASH1,0.003,0.009,0.02
AZF1,0.003,0.004,0.007
BAS1,0.004,0.004,0.007
CAD1,0.02,0.023,0.005
CAT8,0.033,0.115,0.241
CBF1,0.009,0.013,0.015
CEP3,0.017,0.03,0.022
CHA4,0.002,0.016,0.047
CIN5,0.026,0.021,0.01
CRZ1,0.073,0.066,0.084
CST6,0.038,0.044,0.03
CUP2,0.023,0.023,0.02
CUP9,0.066,0.041,0.029
DAL80,0.03,0.016,0.007
DAL81,0.022,0.039,0.092
DAL82,0.004,0.015,0.028
DOT6,0.011,0.01,0.015
ECM22,0.002,0.024,0.037
ECM23,0.154,0.096,0.089
EDS1,0.015,0.02,0.038
ERT1,0.01,0.022,0.029
FHL1,0.018,0.04,0.041
FKH1,0.029,0.028,0.022
FKH2,0.03,0.019,0.015
FZF1,0.037,0.02,0.007
GAL4,0.007,0.018,0.05
GAT1,0.05,0.026,0.016
GAT3,0.026,0.018,0.012
GAT4,0.026,0.018,0.012
GCN4,0.03,0.019,0.01
GCR1,0.013,0.016,0.013
GCR2,0.025,0.032,0.03
GIS1,0.037,0.045,0.053
GLN3,0.146,0.13,0.092
GSM1,0.004,0.021,0.041
GZF3,0.03,0.016,0.007
HAC1,0.008,0.019,0.025
HAL9,0.065,0.126,0.221
HAP1,0.013,0.025,0.008
HAP2,0.206,0.163,0.123
HAP3,0.028,0.027,0.013
HAP5,0.008,0.011,0.005
HCM1,0.033,0.025,0.018
HMRA1,0.167,0.139,0.109
HMRA2,0.022,0.023,0.014
HSF1,0.026,0.025,0.02
IME1,0.002,0.009,0.04
INO2,0.034,0.035,0.041
INO4,0.011,0.019,0.012
IXR1,0.016,0.025,0.026
LEU3,0.002,0.027,0.063
LYS14,0.011,0.034,0.037
MAC1,0.021,0.021,0.01
MATALPHA2,0.034,0.038,0.024
MBP1,0.026,0.113,0.268
MBP1::SWI6,0.02,0.045,0.068
MCM1,0.014,0.028,0.016
MET28,0.042,0.038,0.031
MET31,0.013,0.041,0.05
MET32,0.031,0.035,0.037
MGA1,0.033,0.028,0.018
MIG1,0.006,0.027,0.102
MIG2,0.006,0.027,0.102
MIG3,0.006,0.027,0.102
MOT2,0.155,0.123,0.077
MOT3,0.231,0.209,0.151
MSN2,0.098,0.143,0.199
MSN4,0.098,0.143,0.199
NDT80,0.037,0.046,0.034
NHP10,0.004,0.013,0.065
NRG1,0.006,0.002,0.005
NSI1,0.003,0.014,0.024
OAF1,0.01,0.023,0.043
OPI1,0.132,0.137,0.161
PDR1,0.01,0.009,0.029
PDR3,0.005,0.018,0.064
PDR8,0.006,0.014,0.022
PHD1,0.034,0.036,0.033
PHO2,0.054,0.044,0.02
PHO4,0.002,0.008,0.013
PIP2,0.003,0.019,0.036
PPR1,0.001,0.007,0.021
PUT3,0.001,0.012,0.071
RAP1,0.051,0.043,0.035
RDR1,0.005,0.011,0.025
RDS1,0.004,0.02,0.039
RDS2,0.005,0.027,0.081
REB1,0.006,0.011,0.023
REI1,0.01,0.011,0.008
RFX1,0.024,0.013,0.014
RGM1,0.098,0.143,0.199
RGT1,0.003,0.008,0.018
RIM101,0.026,0.031,0.035
RLM1,0.02,0.017,0.01
RME1,0.012,0.01,0.013
ROX1,0.033,0.042,0.032
RPH1,0.018,0.024,0.027
RPN4,0.02,0.03,0.028
RSC3,0.013,0.077,0.273
RSC30,0.001,0.003,0.049
RTG1,0.029,0.016,0.008
RTG3,0.0,0.004,0.004
SDD4,0.022,0.047,0.068
SFL1,0.016,0.008,0.006
SFP1,0.006,0.014,0.021
SIP4,0.002,0.024,0.037
SKN7,0.096,0.113,0.131
SKO1,0.019,0.016,0.012
SMP1,0.019,0.019,0.014
SNT2,0.009,0.022,0.021
SOK2,0.022,0.017,0.012
SPT15,0.034,0.034,0.021
SPT2,0.018,0.029,0.018
