,low,mid,high
ABF1,0.103,0.117,0.092
ABF2,0.145,0.113,0.078
ACA1,0.109,0.084,0.086
ACE2,0.125,0.139,0.161
ADR1,0.098,0.158,0.29
AFT1,0.158,0.146,0.138
AFT2,0.123,0.159,0.24
ARG80,0.091,0.103,0.135
ARG81,0.116,0.12,0.1
ARO80,0.075,0.116,0.197
ARR1,0.18,0.131,0.072
ASG1,0.056,0.127,0.171
ASH1,0.074,0.112,0.166
AZF1,0.131,0.127,0.133
BAS1,0.1,0.11,0.151
CAD1,0.166,0.125,0.067
CAT8,0.034,0.107,0.204
CBF1,0.08,0.091,0.101
CEP3,0.05,0.121,0.163
CHA4,0.041,0.13,0.246
CIN5,0.155,0.122,0.073
CRZ1,0.104,0.129,0.173
CST6,0.142,0.144,0.097
CUP2,0.13,0.129,0.131
CUP9,0.152,0.136,0.102
DAL80,0.137,0.115,0.107
DAL81,0.06,0.098,0.129
DAL82,0.067,0.129,0.211
DOT6,0.132,0.117,0.116
ECM22,0.066,0.122,0.177
ECM23,0.139,0.085,0.08
EDS1,0.127,0.125,0.137
ERT1,0.068,0.124,0.173
FHL1,0.096,0.141,0.139
FKH1,0.185,0.139,0.083
FKH2,0.122,0.106,0.076
FZF1,0.162,0.121,0.099
GAL4,0.05,0.099,0.217
GAT1,0.144,0.131,0.101
GAT3,0.052,0.034,0.035
GAT4,0.105,0.058,0.053
GCN4,0.119,0.099,0.089
GCR1,0.108,0.114,0.096
GCR2,0.11,0.122,0.116
GIS1,0.11,0.154,0.173
GLN3,0.148,0.132,0.103
GSM1,0.038,0.114,0.182
GZF3,0.135,0.099,0.106
HAC1,0.097,0.11,0.123
HAL9,0.069,0.127,0.174
HAP1,0.127,0.159,0.143
HAP2,0.193,0.153,0.127
HAP3,0.165,0.127,0.095
HAP5,0.164,0.125,0.1
HCM1,0.172,0.169,0.105
HMRA1,0.1,0.11,0.088
HMRA2,0.173,0.154,0.111
HSF1,0.164,0.119,0.087
IME1,0.031,0.093,0.21
INO2,0.132,0.135,0.097
INO4,0.146,0.142,0.113
IXR1,0.124,0.122,0.132
LEU3,0.061,0.096,0.195
LYS14,0.078,0.099,0.131
MAC1,0.137,0.12,0.097
MATALPHA2,0.186,0.163,0.092
MBP1,0.018,0.087,0.259
MBP1::SWI6,0.048,0.099,0.213
MCM1,0.108,0.122,0.092
MET28,0.039,0.047,0.031
MET31,0.113,0.148,0.154
MET32,0.131,0.161,0.168
MGA1,0.136,0.128,0.113
MIG1,0.085,0.144,0.281
MIG2,0.062,0.139,0.278
MIG3,0.085,0.144,0.281
MOT2,0.15,0.136,0.079
MSN2,0.112,0.165,0.194
MSN4,0.112,0.165,0.194
NDT80,0.129,0.184,0.163
NHP10,0.043,0.115,0.3
