,low,mid,high
ABF1,0.125,0.114,0.217
ABF2,0.119,0.108,0.067
ACA1,0.102,0.096,0.07
ACE2,0.143,0.145,0.157
ADR1,0.109,0.184,0.305
AFT1,0.13,0.142,0.144
AFT2,0.122,0.186,0.332
ARG80,0.107,0.123,0.129
ARG81,0.119,0.128,0.106
ARO80,0.093,0.135,0.226
ARR1,0.169,0.126,0.073
ASG1,0.107,0.111,0.174
ASH1,0.082,0.132,0.19
AZF1,0.145,0.128,0.11
BAS1,0.107,0.135,0.152
CAD1,0.148,0.1,0.059
CAT8,0.073,0.112,0.216
CBF1,0.086,0.073,0.113
CEP3,0.081,0.134,0.178
CHA4,0.056,0.162,0.237
CIN5,0.141,0.089,0.075
CRZ1,0.108,0.142,0.217
CST6,0.157,0.113,0.1
CUP2,0.142,0.138,0.096
CUP9,0.122,0.143,0.094
DAL80,0.152,0.135,0.091
DAL81,0.075,0.108,0.127
DAL82,0.074,0.138,0.161
DOT6,0.097,0.123,0.098
ECM22,0.094,0.127,0.156
ECM23,0.124,0.091,0.063
EDS1,0.132,0.115,0.107
ERT1,0.092,0.115,0.169
FHL1,0.112,0.174,0.15
FKH1,0.185,0.125,0.092
FKH2,0.109,0.086,0.073
FZF1,0.164,0.112,0.102
GAL4,0.057,0.147,0.198
GAT1,0.156,0.122,0.084
GAT3,0.06,0.033,0.028
GAT4,0.095,0.061,0.044
GCN4,0.107,0.091,0.092
GCR1,0.137,0.109,0.092
GCR2,0.14,0.121,0.134
GIS1,0.122,0.173,0.241
GLN3,0.159,0.123,0.084
GSM1,0.077,0.126,0.177
GZF3,0.144,0.122,0.103
HAC1,0.106,0.112,0.106
HAL9,0.093,0.118,0.172
HAP1,0.145,0.128,0.13
HAP2,0.16,0.147,0.131
HAP3,0.143,0.126,0.118
HAP5,0.143,0.105,0.097
HCM1,0.193,0.148,0.12
HMRA1,0.112,0.121,0.071
HMRA2,0.181,0.134,0.089
HSF1,0.158,0.123,0.099
IME1,0.062,0.136,0.186
INO2,0.121,0.105,0.114
INO4,0.136,0.109,0.095
IXR1,0.122,0.119,0.137
LEU3,0.067,0.118,0.189
LYS14,0.091,0.105,0.12
MAC1,0.133,0.129,0.098
MATALPHA2,0.161,0.131,0.115
MBP1,0.033,0.161,0.223
MBP1::SWI6,0.061,0.146,0.178
MCM1,0.091,0.106,0.096
MET28,0.037,0.034,0.024
MET31,0.114,0.149,0.18
MET32,0.123,0.165,0.182
MGA1,0.144,0.131,0.105
MIG1,0.107,0.181,0.26
MIG2,0.09,0.158,0.317
MIG3,0.107,0.181,0.26
MOT2,0.138,0.105,0.115
MSN2,0.119,0.187,0.343
MSN4,0.119,0.187,0.343
NDT80,0.166,0.156,0.103
NHP10,0.064,0.159,0.34
NRG1,0.11,0.143,0.142
NSI1,0.09,0.125,0.307
OAF1,0.074,0.151,0.2
OPI1,0.153,0.155,0.14
PDR1,0.081,0.106,0.114
PDR3,0.047,0.072,0.079
