,low,mid,high
Ada,0.431,0.601,0.685
AgaR,0.493,0.826,0.894
AraC,0.516,0.76,0.8
ArcA,0.606,0.911,0.979
ArgP,0.419,0.656,0.722
ArgR,0.403,0.74,0.821
CRP,0.852,0.982,0.994
CpxR,0.629,0.877,0.922
CueR,0.203,0.146,0.118
CysB,0.453,0.68,0.707
CytR,0.475,0.66,0.705
DcuR,0.504,0.837,0.932
DeoR,0.414,0.589,0.691
DnaA,0.346,0.553,0.583
FNR,0.708,0.912,0.945
FadR,0.225,0.266,0.311
FhlA,0.277,0.299,0.245
Fis,0.928,0.988,0.997
FruR,0.294,0.362,0.346
Fur,0.627,0.805,0.854
GadE,0.488,0.848,0.917
GalR,0.255,0.235,0.182
GalS,0.255,0.235,0.182
GcvA,0.461,0.812,0.923
GlpR,0.365,0.529,0.574
GntR,0.362,0.661,0.739
H_NS,0.765,0.969,0.987
IHF,0.839,0.969,0.988
LacI,0.229,0.225,0.16
LexA,0.298,0.319,0.394
Lrp,0.849,0.974,0.988
MalT,0.221,0.169,0.18
MarA,0.329,0.435,0.457
MelR,0.323,0.416,0.426
MetJ,0.292,0.387,0.348
MetR,0.376,0.607,0.658
Mlc,0.489,0.855,0.89
ModE,0.39,0.687,0.807
Nac,0.464,0.802,0.888
NagC,0.513,0.868,0.936
NanR,0.176,0.169,0.24
NarL,0.719,0.913,0.948
NarP,0.189,0.206,0.243
NorR,0.204,0.278,0.261
NtrC,0.467,0.398,0.36
OmpR,0.532,0.866,0.941
OxyR,0.428,0.755,0.825
PhoB,0.658,0.902,0.969
PhoP,0.589,0.837,0.879
PurR,0.302,0.295,0.266
RcsB,0.415,0.655,0.712
RhaS,0.289,0.278,0.204
Rob,0.292,0.388,0.388
SoxS,0.346,0.531,0.575
TorR,0.338,0.455,0.487
TrpR,0.197,0.304,0.404
TyrR,0.328,0.538,0.561
UlaR,0.418,0.699,0.739
UxuR,0.331,0.506,0.535
XylR,0.474,0.746,0.836
