,low,mid,high
Ada,0.476,0.595,0.649
AgaR,0.612,0.793,0.896
AraC,0.611,0.724,0.784
ArcA,0.764,0.9,0.967
ArgP,0.529,0.645,0.691
ArgR,0.544,0.718,0.801
CRP,0.919,0.977,0.993
CpxR,0.733,0.88,0.896
CueR,0.198,0.143,0.133
CysB,0.557,0.664,0.71
CytR,0.501,0.598,0.658
DcuR,0.649,0.825,0.893
DeoR,0.48,0.621,0.689
DnaA,0.469,0.547,0.577
FNR,0.8,0.917,0.955
FadR,0.257,0.272,0.267
FhlA,0.279,0.229,0.272
Fis,0.973,0.991,0.998
FruR,0.318,0.315,0.292
Fur,0.694,0.796,0.863
GadE,0.668,0.825,0.927
GalR,0.237,0.234,0.231
GalS,0.237,0.234,0.231
GcvA,0.622,0.812,0.897
GlpR,0.441,0.492,0.53
GntR,0.465,0.637,0.76
H_NS,0.861,0.952,0.982
IHF,0.927,0.965,0.984
LacI,0.219,0.205,0.169
LexA,0.305,0.363,0.365
Lrp,0.92,0.971,0.985
MalT,0.229,0.209,0.186
MarA,0.361,0.413,0.432
MelR,0.379,0.421,0.458
MetJ,0.281,0.349,0.387
MetR,0.436,0.563,0.6
Mlc,0.637,0.824,0.882
ModE,0.551,0.681,0.818
Nac,0.639,0.782,0.868
NagC,0.678,0.847,0.928
NanR,0.203,0.209,0.2
NarL,0.852,0.917,0.941
NarP,0.248,0.246,0.248
NorR,0.235,0.253,0.305
NtrC,0.432,0.402,0.388
OmpR,0.664,0.844,0.925
OxyR,0.566,0.729,0.806
PhoB,0.755,0.898,0.963
PhoP,0.695,0.823,0.872
PurR,0.282,0.262,0.27
RcsB,0.512,0.633,0.699
RhaS,0.291,0.26,0.238
Rob,0.341,0.382,0.385
SoxS,0.408,0.522,0.514
TorR,0.405,0.463,0.495
TrpR,0.27,0.311,0.38
TyrR,0.412,0.548,0.594
UlaR,0.55,0.716,0.757
UxuR,0.389,0.483,0.5
XylR,0.585,0.712,0.817
